Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.3875,0.0125,-1.0,1.0,0.0,0.0625,0.0625,-1.0,1.0,0.0,0.55,0.05,-1.0,1.0,-0.0,0.55,0.05,-1.0,1.0,-0.0,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666667,0.0,0.0,0.0,0.0,0.5555555556,0.0,0.0,0.0,0.0,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.4777777778,0.0777777778,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.4722222222,0.0277777778,-1.0,1.0,0.0,0.3666666667,0.0333333333,-1.0,1.0,-0.0,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.4444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555556,0.0,0.0,0.0,0.0,0.4444444444,0.0,0.0,0.0,0.0,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.3,0.1,-1.0,1.0,-0.0,0.05,0.05,-1.0,1.0,0.0,0.65,0.05,-1.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.45,0.05,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.45,0.05,-1.0,1.0,0.0,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.2666666667,0.0942809042,-0.5,1.5,0.7071067812,0.2,0.1414213562,-0.5,1.5,-0.7071067812,0.5333333333,0.0471404521,-0.5,1.5,0.7071067812,0.4333333333,0.0471404521,-0.8,1.5,0.7071067812,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.15,0.05,-1.0,1.0,-0.0,0.1,0.1,-1.0,1.0,0.0,0.75,0.15,-1.0,1.0,0.0,0.45,0.05,-1.0,1.0,0.0,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.6125,0.0125,-1.0,1.0,-0.0,0.1,0.1,-1.0,1.0,0.0,0.2875,0.0875,-1.0,1.0,0.0,0.3875,0.0125,-1.0,1.0,0.0,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
11,0.45,0.15,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.5,0.1,-1.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,1,1,8,-0.855200685915,-0.84334081333,-0.8425687089249999
12,0.22,0.1326649916,0.3165467626,2.2169421488,-0.3700366502,0.16,0.1019803903,0.696969697,1.9556213018,-0.2715454179,0.62,0.0979795897,-0.3865546218,2.7291666667,0.8675276172,0.44,0.1356465997,-0.8674698795,2.3638941399,-0.7500308204,1,1,8,-0.78064898147,-0.83954993176,-0.8429114419399999
13,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1,1,10,-0.81292372814,-0.8435807430300001,-0.843804211205
14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1,1,10,-0.8995262120699999,-0.870252273205,-0.87448808933
15,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1,1,10,-0.8341680580349999,-0.883145719675,-0.8937313512999999
16,0.5,0.2097617696,-0.1666666667,2.8305785124,-1.1701586323,0.18,0.1166190379,-0.5730337079,1.6280276817,-0.3631734744,0.32,0.16,0.0282131661,2.5908203125,0.55078125,0.5,0.1095445115,-0.3333333333,2.5,-0.9128709292,1,1,10,-0.91009308044,-0.89481076328,-0.90014748544
17,0.5,0.1,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.45,0.05,-1.0,1.0,0.0,0.45,0.05,-1.0,1.0,0.0,1,1,10,-0.922143150785,-0.94980149664,-0.95763748021
18,0.2666666667,0.0471404521,-0.5,1.5,-0.7071067812,0.2,0.1632993162,0.0,1.5,-0.0,0.5333333333,0.2054804668,-0.02,1.5,0.2390631469,0.4666666667,0.0942809042,-0.5,1.5,0.7071067812,1,1,10,-0.8746622492249999,-0.8681950274349999,-0.87228294636
19,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1,1,20,-0.74886535544,-0.75699315611,-0.7864238003849999
20,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1,1,20,-0.7693178964999999,-0.7837758787,-0.814909627325
21,0.4333333333,0.1247219129,-0.9411764706,1.5,0.3818017742,0.1,0.0816496581,-1.0,1.5,-0.0,0.4666666667,0.0471404521,-0.5,1.5,-0.7071067812,0.4,0.0816496581,-1.0,1.5,0.0,1,1,20,-0.74889904875,-0.7619802822899999,-0.79402493736
22,0.32,0.1166190379,-0.525974026,1.6280276817,0.3631734744,0.16,0.1019803903,-0.8181818182,1.9556213018,-0.2715454179,0.52,0.1166190379,-0.1363636364,2.6660899654,-1.1500493357,0.42,0.04,-0.3157894737,3.25,1.5,1,1,20,-0.77490415751,-0.79991707355,-0.82360042296
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1,1,20,-0.7858303956849999,-0.800286015235,-0.837772426425
24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1,1,20,-0.770022298175,-0.79742173178,-0.83245623356
25,0.275,0.1479019946,0.0215827338,1.8457142857,0.4346507596,0.175,0.1479019946,-0.4065934066,1.8457142857,0.4346507596,0.55,0.1658312395,-0.9428571429,1.6280991736,-0.4933822002,0.45,0.15,-0.4857142857,2.1851851852,-0.8888888889,1,1,50,-0.63655165351,-0.651051059885,-0.69311815502
26,0.2333333333,0.0471404521,-0.8,1.5,0.7071067812,0.0666666667,0.0471404521,-0.5,1.5,-0.7071067812,0.7,0.0816496581,-1.0,1.5,0.0,0.4666666667,0.0942809042,-0.5,1.5,0.7071067812,1,1,50,-0.61293243582,-0.6389953431150001,-0.6845963668699999
27,0.375,0.2487468593,-0.7196261682,2.2549739822,1.065949198,0.15,0.15,-0.037037037,2.1851851852,0.8888888889,0.475,0.1920286437,-0.6,1.5733984487,-0.2780305557,0.35,0.05,-1.0,1.0,-0.0,1,1,50,-0.6309000523,-0.63678209746,-0.68863783246
28,0.2,0.1,-1.0,1.0,-0.0,0.2,0.2,-1.0,1.0,0.0,0.6,0.1,-1.0,1.0,0.0,0.55,0.05,-1.0,1.0,-0.0,1,1,50,-0.645028154075,-0.6692843360199999,-0.71137667216
29,0.25,0.05,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.55,0.05,-1.0,1.0,-0.0,1,1,50,-0.66690714154,-0.67223448446,-0.712341406145
30,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,50,-0.651363448745,-0.6721724572150001,-0.713126918355
31,0.33,0.1268857754,0.0390775144,2.5283360981,0.5991597126,0.13,0.0640312424,0.4190871369,2.2944675788,-0.3656751498,0.54,0.1428285686,0.0618762475,3.6320645905,-1.1366979506,0.45,0.0921954446,-0.3939393939,2.1626297578,0.382818455,1,1,100,-0.5551785472049999,-0.577489461165,-0.60934755822
32,0.45,0.05,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.5,0.1,-1.0,1.0,0.0,0.45,0.05,-1.0,1.0,0.0,1,1,100,-0.553021375725,-0.573717826165,-0.610650683225
33,0.3111111111,0.1369869778,0.3827618165,3.4648545706,-0.9786647577,0.1888888889,0.1099943882,-0.3962900506,2.6845064556,0.2205843312,0.5,0.1054092553,0.2,3.06,-0.0,0.4555555556,0.0831479419,-0.1014925373,2.4757653061,-0.1765833205,1,1,100,-0.562356392805,-0.5790967398,-0.6128964770349999
34,0.28,0.0871779789,0.4708994709,2.6786703601,-0.507129517,0.17,0.11,0.098805646,2.7441431596,0.6130728775,0.55,0.162788206,0.1958762887,1.5468138127,0.0,0.46,0.1019803903,-0.6810344828,3.7307692308,0.8598938233,1,1,100,-0.551259009875,-0.56937422611,-0.59736843101
35,0.32,0.1166190379,-0.8181818182,1.6280276817,0.3631734744,0.14,0.1019803903,-0.1728395062,1.9556213018,0.2715454179,0.54,0.1624807681,-0.6978193146,1.4421487603,-0.3804646085,0.46,0.1356465997,-0.1764705882,2.3638941399,0.7500308204,1,1,100,-0.5490118403650001,-0.564613244105,-0.59766679546
36,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,100,-0.54701561276,-0.55602344983,-0.588571974125
37,0.4222222222,0.1133115447,0.4176470588,2.5417899408,-0.4431470361,0.1222222222,0.0628539361,-0.2395209581,2.37890625,-0.2099223257,0.4555555556,0.0955813919,0.3822152886,1.9996347699,0.2230697933,0.4555555556,0.0831479419,-0.512295082,2.4757653061,-0.1765833205,1,1,200,-0.48150884206,-0.4934560797349999,-0.5037693478199999
38,0.2923076923,0.1567042214,0.3151774178,2.3028073741,0.3672733865,0.2,0.1074172311,0.2307692308,1.9066666667,0.1861898673,0.5076923077,0.1356553238,-0.0258503401,2.2663434001,0.1378418877,0.4384615385,0.1303159565,-0.2812962216,3.8117859874,0.9310813967,1,1,200,-0.48345049249,-0.4903417929499999,-0.5051928852249999
39,0.3363636364,0.1431637795,0.1360619469,2.1859391259,0.2749962427,0.1545454545,0.0987525499,0.3567888999,1.8837977593,0.4400034614,0.5090909091,0.12398347,-0.2199376947,1.9734651405,0.1135332503,0.3727272727,0.0749655568,-0.4289580514,1.919550173,0.4922046508,1,1,200,-0.479870428365,-0.486258867115,-0.502139292855
40,0.2444444444,0.1065740339,-0.2552926526,1.7849716446,0.1450535054,0.1666666667,0.1414213562,0.2335766423,3.7592592593,1.3094570022,0.5888888889,0.1662958839,0.3001043841,1.8364955357,-0.2583127628,0.4666666667,0.1247219129,-0.2857142857,2.2346938776,0.3054414193,1,1,200,-0.489178280695,-0.497909299165,-0.5089116274050001
